              Unnamed: 0 Unnamed: 1 Unnamed: 2 Unnamed: 3 Unnamed: 4 Unnamed: 5 Unnamed: 6 Unnamed: 7 Unnamed: 8 Unnamed: 9 Unnamed: 10        2 Unnamed: 12 Unnamed: 13 Unnamed: 14 Unnamed: 15 Unnamed: 16      Open Unnamed: 18     Daily Unnamed: 20 Unnamed: 21 Unnamed: 22 Unnamed: 23 Unnamed: 24 Unnamed: 25 Unnamed: 26 Unnamed: 27
15           Date/Symbol        UUP        FXE        FXF        FXY        FXA        FXC        FXB       USDU        UDN         CYB      CEW        EUFX         GLD         SLV         BNO         PCX  DX-Y.NYB    EURUSD=X  GBPUSD=X    CHFUSD=X    AUDUSD=X    USDZAR=X    CNYUSD=X    CADUSD=X    RUBUSD=X    NZDUSD=X    JPYUSD=X
225  2014-10-13 00:00:00    21.9582     125.73     103.18      91.07    83.3564    86.9426     158.15    23.0145    24.6494     24.5293  18.9882       38.05      118.99       16.58       34.17        3.52     85.19     1.27458   1.60906     1.05554    0.875964     11.0686    0.163559    0.885591     0.02454     0.79277  0.00933437
226  2014-10-20 00:00:00    22.0745     124.81     102.57      90.04    83.6699    87.3569     158.13     23.139     24.484     24.5969  19.0844       38.35      118.35        16.5       34.17        3.44     85.73     1.26781   1.60927     1.05086    0.879972     10.9437     0.16299    0.889514     0.02385    0.785484  0.00924078
227  2014-10-27 00:00:00    22.3749     123.49     101.45      86.65    83.7554    87.0413      157.2    23.4148    24.1338     24.5776  18.9497       38.78      112.66        15.5       34.07        3.43     86.88     1.25022    1.5975     1.03691    0.874814     11.0494     0.16166    0.885732     0.02311    0.777544  0.00886258
228  2014-11-03 00:00:00    22.5493     122.67      101.1      84.96    82.0927    86.5382     155.85    23.6194    23.9198     24.5486  18.6611       39.11      112.97        15.1       32.91         3.4     87.64     1.24625   1.58849     1.03595    0.864439     11.2359      0.1632    0.882519     0.02141    0.776217  0.00873065
229  2014-11-10 00:00:00    22.5299     123.43     101.78       83.7    83.4253    86.9821     153.97    23.6372    23.9393     24.5872  18.6226       38.75      114.47       15.63       31.34         3.4     87.53     1.25208   1.56681     1.04222    0.875273     11.0838    0.163412    0.885598     0.02118    0.793084  0.00855205
230  2014-11-17 00:00:00    22.7334     122.08     100.69      82.71    82.5593    87.3077      153.9    23.7973    23.6961     24.6258  18.7092       39.24      115.39       15.79       31.69        3.43     88.31     1.23739   1.56485     1.02929    0.868056     10.9497     0.16302    0.890187     0.02187    0.788892  0.00849257
231  2014-11-24 00:00:00    22.7431     122.46        101      82.01    81.0939    85.7882     153.46    23.9397    23.6961     24.5583  18.4206       38.83      112.11       14.83       27.97        3.33     88.36      1.2438    1.5613     1.03327    0.844309     11.0819     0.16251    0.873027   0.0203013     0.77991  0.00841567
232  2014-12-01 00:00:00    22.9757     121.03      99.77      80.12    79.2478     85.808     152.99    24.1888    23.3946     24.5197  18.1898       39.51      114.43       15.61       27.08        3.34     89.33      1.2301   1.55669     1.02234    0.830772     11.3695     0.16277    0.873523       0.019    0.768226  0.00822118
233  2014-12-08 00:00:00    22.7043     122.63     101.19      82.02    78.7208    84.8064     154.38    24.0464    23.7058     24.4618  17.9397          39      117.41        16.3        24.2        3.22     88.36     1.24594   1.57327      1.0376    0.821423       11.56    0.161894    0.864588     0.01718    0.777122  0.00846346
234  2014-12-15 00:00:00    23.0338     120.39      99.12      81.35    77.7106    84.5695     153.59     23.913    23.3459     24.2688  17.9108        39.7      114.77       15.39       24.31         3.2      89.6     1.22257   1.56287     1.01625    0.814863     11.5653     0.16065    0.860852   0.0161211    0.774773  0.00836925
235  2014-12-22 00:00:00    23.1501     119.91      98.77      80.79    77.4914    84.3623     152.77    24.4196    23.1903     24.3342  17.9589       39.75      114.83       15.35       23.27         3.2     90.03     1.21697   1.55538     1.01184    0.811622     11.5827     0.16043    0.859542   0.0195389    0.775074  0.00830358
236  2014-12-29 00:00:00    23.4505      118.2      97.41      80.72    77.1769    83.4248     150.61    24.6908    22.9082     24.3633  17.8435       40.33      114.08       15.11       22.02         3.2     91.08     1.19464   1.52849    0.994233    0.806777     11.7277     0.16036    0.847702   0.0171453    0.766577   0.0083033
237  2015-01-05 00:00:00    23.6249     116.61      96.18      82.07    78.3642    82.7427     148.93    24.6275    22.7039     24.4408  17.8848       40.91      117.26       15.77       19.66        3.12     91.94     1.18707   1.51895    0.988318    0.822233     11.4745     0.16152    0.844081   0.0165975    0.784683  0.00845938
238  2015-01-12 00:00:00    23.8284     113.91     113.83      82.71    78.6983    82.0124     148.88    24.6094    22.4704     24.4505  17.8462       41.95      122.52       16.95       19.17        3.25     92.52      1.1566   1.51421     1.16523    0.822707     11.5299     0.16114    0.835213   0.0154607    0.779423   0.0085063
239  2015-01-19 00:00:00    24.4292     110.33     110.95      82.57    75.6913     78.953     147.23    25.0523    21.8576     24.3633  17.9329       43.25      124.23       17.51       18.69        3.31        95     1.11255   1.49959     1.13494    0.787588     11.4333     0.15925    0.802433   0.0155509    0.741895  0.00852072
240  2015-01-26 00:00:00    24.3517     111.22     106.19      82.81    74.4312    77.1963     147.91    25.1336    21.9062      24.247  17.6055       42.88      123.45       16.54       20.03        3.37      94.8      1.1309   1.50871     1.08542     0.77821     11.6253     0.16025     0.78791     0.01444    0.726005  0.00853359
241  2015-02-02 00:00:00    24.2839      111.4     105.38      81.81    74.5171    78.3609     149.59    25.1426    21.9841      24.373   17.721       42.76      118.64       16.03       22.17        3.29      94.7     1.13144    1.5239     1.07956    0.776096     11.4983     0.16008    0.798582   0.0150665    0.735024  0.00840548
242  2015-02-09 00:00:00    24.1385     112.16     104.56      81.87    74.2858    78.7439     151.21    25.0342    22.1397     24.3923  17.7307       42.41      117.98       16.54       23.05        3.39      94.2        1.14   1.54005     1.07331    0.776578     11.6448    0.160506    0.802671     0.01575    0.747943  0.00843384
243  2015-02-16 00:00:00     24.187     111.94     103.69      81.66    75.0508    78.2406     151.05    25.0975    22.0522     24.3827  17.6633       42.52      115.28       15.54        22.6         3.4     94.25     1.13815   1.53891     1.06315    0.784621     11.6159     0.15987    0.797601   0.0161616    0.753012    0.008398
244  2015-02-23 00:00:00    24.4195     110.12      102.3      81.28    74.8022    78.4972     151.56    25.2601    21.7992     24.3245  17.6729       43.15      116.16       15.87       23.34         3.4     95.25      1.1162   1.54062     1.04789    0.778574     11.6837     0.15906    0.798779   0.0163572    0.754888  0.00834543
245  2015-03-02 00:00:00    25.0009     106.75      98.95      80.54    73.8269    77.8457     147.72    25.8385    21.1767     24.3827  17.4032       44.59      111.86       15.19        22.4        3.39     97.62      1.0846   1.50577     1.01574     0.77226      12.015     0.15961    0.793172    0.016415    0.736377  0.00828233
246  2015-03-09 00:00:00    25.6696     103.08      96.92      80.06    73.0676    76.7408     144.68    26.3266     20.525     24.4117   17.095       46.06      110.88        14.9       20.39         3.4    100.33     1.04816   1.47558    0.993394    0.761615     12.4427     0.15954    0.780037   0.0160398    0.731904   0.0082411
247  2015-03-16 00:00:00    25.0203     106.32      99.75      80.98    74.5035    78.0042     146.71    25.6939    21.0211     24.5861  17.4417       44.64      113.57          16       20.47        3.33     97.91     1.08266   1.49432     1.02302    0.778392     12.0301     0.16123    0.794502    0.016657    0.757002  0.00833146
248  2015-03-23 00:00:00    24.8653     107.16     101.56      81.59    74.3599    77.8462     146.04    25.6307    21.1475     24.6248  17.4803       44.16      115.06       16.22       20.87        3.36     97.29     1.08849   1.48858     1.04034    0.773455     12.0397      0.1608    0.792971    0.017449    0.754717  0.00838574
249  2015-03-30 00:00:00    24.9137     106.99     101.55      81.14    72.5699    78.1028      145.5    25.6759    21.1183     24.6733   17.721       44.22      115.28       16.02       20.54        3.38     96.75     1.10013   1.49307     1.05027    0.764409     11.7535     0.16306    0.801353   0.0176832    0.761673  0.00841588
250  2015-04-06 00:00:00    25.3595     104.33      99.51      80.85    73.6907    77.9943     143.71    25.9199    20.7098      24.712  17.7981       45.46      115.97       15.77        21.5        3.38     99.39     1.06099   1.46406     1.02137     0.76693     11.9765      0.1611    0.795393   0.0191426    0.753807  0.00831884
251  2015-04-13 00:00:00    24.8362     106.36     102.38      81.81      74.63    80.2743     146.85    25.5403    21.1475     24.7508  17.8366       44.58       115.6       15.56       23.22         3.4     97.52     1.08102   1.49683     1.05108    0.780945     12.0466     0.16164    0.818739   0.0192363    0.770535  0.00841623
252  2015-04-20 00:00:00    24.7296     106.81     102.09      81.73    75.1189    80.6592     148.95    25.4138    21.2448     24.8186  17.9618       44.27      113.05       15.06       23.77        3.38     96.92      1.0869   1.51766     1.04883    0.783331     12.1124    0.161687    0.821531     0.01964    0.760977  0.00840852
253  2015-04-27 00:00:00    24.2548     110.15     104.32      80.85    75.1573    80.7184     148.58    25.1969    21.6144     24.8283  17.9329       42.93      113.08       15.47       24.28        3.18      95.3     1.11859   1.51467     1.07147    0.783024     12.0451     0.16074    0.821922   0.0193855    0.752615   0.0083239
254  2015-05-04 00:00:00    24.1385     110.14     104.46      81.16    76.1351    81.1527     151.66    25.0161    21.6728      24.838    18.01       42.85      113.97       15.76       23.84        3.19     94.79     1.11941    1.5434     1.07351    0.792581     11.9354      0.1609     0.82687   0.0198969    0.742501  0.00834864
255  2015-05-11 00:00:00    23.7509     112.51     106.29      81.42    77.2388    81.6167     154.38    24.7179    22.0035     24.8864  18.2411       41.99      117.53       16.75       24.07        3.19     93.14     1.14451    1.5746     1.09254    0.804699     11.7818     0.16109    0.832148   0.0199772    0.745768  0.00838012
