date,value
1970-07-01,9.38130904383207
1970-08-01,9.3746521176253
1970-09-01,9.42125836878121
1970-10-01,9.52113112631774
1970-11-01,9.58771148511189
1970-12-01,9.65429406325134
1971-01-01,9.78745478083965
1971-02-01,9.84072128722027
1971-03-01,9.92061771777326
1971-04-01,10.1336781949325
1971-05-01,10.2002596633993
1971-06-01,10.2734991677455
1971-07-01,10.3334226003329
1971-08-01,10.3400806362123
1971-09-01,10.3533967079711
1971-10-01,10.4133201405585
1971-11-01,10.4732435731459
1971-12-01,10.5265078601812
1972-01-01,10.5864312927686
1972-02-01,10.6396966894766
1972-03-01,10.6729868688737
1972-04-01,10.7728596264102
1972-05-01,10.8261250231182
1972-06-01,10.8993645274644
1972-07-01,10.9326547068615
1972-08-01,11.0192102829665
1972-09-01,11.0791337155539
1972-10-01,11.2322729794711
1972-11-01,11.2722211947475
1972-12-01,11.3321435176623
1973-01-01,11.4053819123359
1973-02-01,11.4786203070094
1973-03-01,11.5452006658036
1973-04-01,11.7649158498243
1973-05-01,11.8514814129832
1973-06-01,11.9114037358979
1973-07-01,11.9646680229332
1973-08-01,11.9979582023303
1973-09-01,12.104486776401
1973-10-01,12.3441760680599
1973-11-01,12.4373885703717
1973-12-01,12.5306010726836
1974-01-01,12.770301461069
1974-02-01,12.9873978176438
1974-03-01,13.102326613649
1974-04-01,13.5492916589606
1974-05-01,13.7408433512114
1974-06-01,13.8813168115406
1974-07-01,14.0090179397078
1974-08-01,14.0217902718698
1974-09-01,14.175036064361
1974-10-01,14.4559829850194
1974-11-01,14.7113852413538
1974-12-01,14.9284815979286
1975-01-01,15.3115849824302
1975-02-01,15.566998335491
1975-03-01,15.873478823747
1975-04-01,16.4864619937119
1975-05-01,17.1760569631959
1975-06-01,17.5080821157758
1975-07-01,17.6868614758646
1975-08-01,17.7890290364343
1975-09-01,17.9422748289255
1975-10-01,18.1976770852598
1975-11-01,18.4147734418347
1975-12-01,18.6446421305715
1976-01-01,18.8872720547438
1976-02-01,19.1299130756427
1976-03-01,19.2320695394858
1976-04-01,19.6024116885519
1976-05-01,19.8195080451267
1976-06-01,19.9216645089699
1976-07-01,19.9599815054559
1976-08-01,20.2409284261143
1976-09-01,20.5091030146107
1976-10-01,20.8794451636767
1976-11-01,21.1731533197707
1976-12-01,21.4541002404291
1977-01-01,22.0159940817459
1977-02-01,22.2330904383207
1977-03-01,22.4501867948955
1977-04-01,23.0248529683743
1977-05-01,23.2036323284631
1977-06-01,23.4462733493619
1977-07-01,23.4718069169595
1977-08-01,23.5867468096911
1977-09-01,23.7144479378583
1977-10-01,23.8166044017015
1977-11-01,23.9315442944331
1977-12-01,24.0592454226003
1978-01-01,24.1997188829295
1978-02-01,24.3401923432587
1978-03-01,24.49343813575
1978-04-01,24.851007952654
1978-05-01,24.9914703162567
1978-06-01,25.183033105234
1978-07-01,25.2979619012391
1978-08-01,25.4639800258924
1978-09-01,25.5661364897355
1978-10-01,25.6810763824672
1978-11-01,25.8598557425559
1978-12-01,26.0769520991308
1979-01-01,26.4600554836323
1979-02-01,26.6771518402071
1979-03-01,26.8942481967819
1979-04-01,27.3539855742556
1979-05-01,27.5710708341039
1979-06-01,28.0435805437396
1979-07-01,29.2567523580544
1979-08-01,29.4866210467912
1979-09-01,29.7803402996116
1979-10-01,30.086831884594
1979-11-01,30.3550064730904
1979-12-01,30.5720917329388
1980-01-01,31.3255483632328
1980-02-01,31.772502311818
1980-03-01,32.2066950249676
1980-04-01,33.3049380432772
1980-05-01,33.6114296282597
1980-06-01,33.9306824486776
1980-07-01,34.211629369336
1980-08-01,34.2882522655816
1980-09-01,34.5053486221565
1980-10-01,34.7224449787313
1980-11-01,35.0033918993897
1980-12-01,35.1949435916405
1981-01-01,35.4120399482153
1981-02-01,35.7313038653597
1981-03-01,36.2676530423525
1981-04-01,37.3148178287405
1981-05-01,37.5574477529129
1981-06-01,37.7745441094877
1981-07-01,37.9405622341409
1981-08-01,38.2215091547993
